index: 0, attacked_pos: [0.5681, -0.0781], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5235, -0.0528], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5469, -0.0376], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5428, -0.0548], ori_reward: 0.0, rewards: tensor(1.)
index: 0, attacked_pos: [0.5219, -0.0774], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.524, -0.0936], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5, -0.1159], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5219, -0.1063], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4648, -0.0046], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.45, -0.0031], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4392, -0.0355], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4719, -0.0343], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4688, -0.0597], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4745, -0.0966], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4969, -0.0991], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5855, -0.0969], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4588, -0.0281], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5, -0.0361], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4969, -0.0531], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4906, -0.0563], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4813, -0.0772], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4386, 0.0138], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4688, 0.0209], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4719, -0.0029], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4563, -0.0279], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4531, -0.0458], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4531, -0.0702], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4563, -0.0781], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4531, -0.1023], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4531, -0.109], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4337, -0.1292], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4353, -0.1266], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4584, 0.015], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4438, -0.0312], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4844, -0.0455], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4436, -0.0197], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5128, 0.025], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5303, 0.0122], ori_reward: 1.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.5136, 0.0], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5438, -0.0095], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5658, -0.0131], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5441, 0.0], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5711, 0.0073], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4438, -0.0062], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4813, -0.0067], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4406, -0.0031], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4361, 0.0562], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.441, 0.0281], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4273, 0.0187], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4688, 0.0031], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5227, -0.0254], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4906, -0.0424], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5969, -0.0489], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4984, 0.0293], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5125, 0.0177], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4961, 0.0438], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4906, 0.0594], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4683, 0.0844], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4466, 0.0406], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4783, 0.0267], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5077, 0.0], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.50724, 0.0005], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.5004, 0.05], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.504, 0.0219], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5262, 0.0182], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5618, 0.0], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5611, 0.0738], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5666, 0.0739], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5813, 0.0729], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5296, 0.0127], ori_reward: 1.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4531, -0.0031], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5, -0.0175], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5063, -0.0311], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.5193, -0.0438], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.54, -0.0549], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.5469, -0.0733], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.5088, -0.05], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4975, -0.0225], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4975, -0.0312], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4925, -0.0438], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4884, -0.05], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5002, -0.05], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4991, -0.05], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5034, -0.0348], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5312, -0.03], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5055, 0.0094], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5344, 0.0156], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5517, 0.0156], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5458, 0.0187], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5272, -0.025], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4906, -0.0531], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4688, -0.091], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5231, -0.0062], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.5469, -0.0155], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5107, -0.0385], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5449, -0.0065], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4758, 0.0218], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4433, -0.003], ori_reward: 1.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4873, -0.0026], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5248, -0.0036], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5115, -0.05], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.55, -0.0628], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5784, -0.0673], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4438, -0.0312], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4719, -0.0449], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4395, -0.0717], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4857, -0.0015], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.514, -0.016], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5379, -0.0231], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5969, -0.0469], ori_reward: 1.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4567, -0.0062], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4635, 0.0406], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.3755, -0.0531], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5851, -0.0057], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4385, -0.025], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4912, -0.0094], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5109, 0.0], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5187, -0.0229], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5438, -0.0164], ori_reward: 1.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4938, 0.0182], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4704, -0.0184], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4977, -0.0187], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4857, -0.0639], ori_reward: 1.0, rewards: tensor(1.)
