[84, 0.4648, -0.0111, 0]
[84, 0.4886, 0.0312, 0]
[84, 0.4925, 0.0169, 0]
[84, 0.5342, -0.0276, 1]
[84, 0.5183, 0.0037, 1]
[84, 0.4588, -0.0377, 1]
[84, 0.469, -0.0164, 1]
[84, 0.4749, 0.0353, 1]
[84, 0.484, -0.0051, 0]
[84, 0.5375, -0.0283, 1]
[84, 0.5476, 0.0153, 1]
[84, 0.5416, 0.0167, 0]
[84, 0.4984, -0.0483, 1]
[84, 0.4625, -0.0014, 1]
[84, 0.4992, -0.005, 1]
[84, 0.5083, -0.0406, 1]
[84, 0.5088, 0.0487, 1]
[84, 0.539, 0.025, 0]
[84, 0.4723, -0.0136, 1]
[84, 0.5482, 0.0096, 0]
[84, 0.5392, 0.0272, 0]
[84, 0.5203, 0.0488, 1]
[84, 0.5155, -0.004, 1]
[84, 0.5152, 0.035, 1]
[84, 0.5079, 0.0112, 1]
[84, 0.4701, -0.0264, 0]
[84, 0.499, -0.0179, 1]
[84, 0.469, 0.0457, 1]
[82, 0.4643, 0.0365, 0]
[82, 0.4767, 0.0205, 1]
[82, 0.5313, 0.0278, 0]
[82, 0.4562, 0.0113, 0]
[82, 0.5486, -0.0094, 1]
[82, 0.4687, 0.0155, 1]
[82, 0.4918, 0.0156, 1]
[82, 0.5012, 0.0461, 1]
[82, 0.4705, -0.0301, 0]
[82, 0.5188, -0.0212, 0]
[82, 0.5226, 0.0114, 1]
[82, 0.4792, -0.031, 1]
[82, 0.4799, -0.0212, 1]
[82, 0.4609, 0.0306, 1]
[82, 0.4929, 0.0018, 0]
[82, 0.5291, -0.046, 1]
[82, 0.4526, -0.0074, 0]
[81, 0.4757, 0.013, 1]
[81, 0.4525, 0.0205, 1]
[79, 0.5257, -0.0134, 1]
[79, 0.5011, 0.0367, 1]
[79, 0.5251, 0.0243, 1]
[79, 0.4623, -0.0082, 1]
[77, 0.5442, 0.0117, 0]
[77, 0.4604, -0.0161, 1]
[77, 0.4584, 0.032, 1]
[77, 0.5382, 0.0265, 1]
[77, 0.4862, -0.0357, 0]
[77, 0.4572, -0.017, 1]
[77, 0.4931, 0.0027, 0]
[77, 0.4941, 0.0464, 1]
[77, 0.4951, -0.0124, 1]
[77, 0.508, -0.009, 1]
